best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 18, 'depth_ratio': 1.8, 'time': 0.030473947525024414, 'cx_gates': 39, 'num_gates': 40}","{'depth': 3.6, 'depth_ratio': 0.36, 'time': 0.0007514, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,0
"{'depth': 50, 'depth_ratio': 2.5, 'time': 0.04493594169616699, 'cx_gates': 142, 'num_gates': 143}","{'depth': 3.487, 'depth_ratio': 0.1744, 'time': 0.001606, 'cx_gates': 22.18, 'num_gates': 22.18}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,1
"{'depth': 83, 'depth_ratio': 2.77, 'time': 0.09321093559265137, 'cx_gates': 299, 'num_gates': 300}","{'depth': 3.633, 'depth_ratio': 0.1206, 'time': 0.01269, 'cx_gates': 20.17, 'num_gates': 20.17}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,2
"{'depth': 105, 'depth_ratio': 2.62, 'time': 0.08305096626281738, 'cx_gates': 360, 'num_gates': 361}","{'depth': 7.626, 'depth_ratio': 0.1924, 'time': 0.01484, 'cx_gates': 51.98, 'num_gates': 51.98}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,3
"{'depth': 144, 'depth_ratio': 2.88, 'time': 0.11999201774597168, 'cx_gates': 568, 'num_gates': 569}","{'depth': 4.03, 'depth_ratio': 0.0806, 'time': 0.005611, 'cx_gates': 48.46, 'num_gates': 48.46}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,4
"{'depth': 168, 'depth_ratio': 2.8, 'time': 0.15504670143127441, 'cx_gates': 779, 'num_gates': 780}","{'depth': 5.621, 'depth_ratio': 0.09466, 'time': 0.007746, 'cx_gates': 40.13, 'num_gates': 40.13}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,5
"{'depth': 196, 'depth_ratio': 2.8, 'time': 0.19541597366333008, 'cx_gates': 879, 'num_gates': 880}","{'depth': 5.036, 'depth_ratio': 0.07359, 'time': 0.0201, 'cx_gates': 97.35, 'num_gates': 97.35}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,6
"{'depth': 222, 'depth_ratio': 2.77, 'time': 0.19484496116638184, 'cx_gates': 1054, 'num_gates': 1055}","{'depth': 11.54, 'depth_ratio': 0.1468, 'time': 0.01352, 'cx_gates': 102.5, 'num_gates': 102.5}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,7
"{'depth': 253, 'depth_ratio': 2.81, 'time': 0.2662777900695801, 'cx_gates': 1493, 'num_gates': 1494}","{'depth': 11.46, 'depth_ratio': 0.128, 'time': 0.006322, 'cx_gates': 113.8, 'num_gates': 113.8}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,8
"{'depth': 302, 'depth_ratio': 3.02, 'time': 0.3270838260650635, 'cx_gates': 1629, 'num_gates': 1630}","{'depth': 7.632, 'depth_ratio': 0.07632, 'time': 0.01816, 'cx_gates': 214.9, 'num_gates': 214.9}",sabre_v020_look_1_beam_10,sabre_v020,hex_127,9
