depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,9,0.00189208984375,0,0,0,0.0003013,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
5,16,0.001432180404663086,0,0,0,4.434e-05,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
6,28,0.0038230419158935547,0,0,0,0.0001644,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
7,40,0.006059169769287109,0,0,0,0.0003476,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
9,55,0.022310972213745117,0,0,0,9.836e-05,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
17,76,0.09280610084533691,0,0,0,0.0005931,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
12,70,0.05814504623413086,0,0,0,0.0002659,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
22,127,0.3319418430328369,0,0,0,0.002584,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
26,136,0.4660191535949707,0,0,0,0.001074,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
24,147,0.752288818359375,0,0,0,0.01036,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
38,194,1.3643100261688232,0,0,0,0.004523,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
27,162,0.9019420146942139,0,0,0,0.01112,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
26,135,0.2548859119415283,0,0,0,0.001594,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
43,247,2.7384350299835205,0,0,0,0.02137,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
48,215,1.6957862377166748,0,0,0,0.01239,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
35,196,1.611908197402954,0,0,0,0.008278,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
31,195,1.212770938873291,0,0,0,0.001747,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
49,274,2.570413827896118,0,0,0,0.06569,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
50,278,2.7072489261627197,0,0,0,0.01593,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
52,285,3.1852469444274902,0,0,0,0.01597,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
45,254,1.7333109378814697,0,0,0,0.01322,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
64,331,3.5542590618133545,0,0,0,0.02905,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
55,319,4.993829011917114,0,0,0,0.00909,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
