depth,cx gates,time,seed,depth_std,cx_std,time_std,rp,lp,look,beam,num_iter,crit,max_iter
4,16,0.0020380020141601562,0,0,0,0.0003544,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
5,27,0.0025348663330078125,0,0,0,4.293e-05,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
5,32,0.002686023712158203,0,0,0,0.0002193,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
8,38,0.0051631927490234375,0,0,0,7.102e-05,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
13,68,0.027998924255371094,0,0,0,0.0004478,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
12,75,0.02557206153869629,0,0,0,0.0003489,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
14,92,0.08945894241333008,0,0,0,0.000652,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
15,97,0.12759184837341309,0,0,0,0.001915,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
21,133,0.32570695877075195,0,0,0,0.003309,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
18,128,0.1755390167236328,0,0,0,0.0008364,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
28,168,0.8856241703033447,0,0,0,0.0122,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
23,145,0.4588589668273926,0,0,0,0.002472,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
25,164,0.3802521228790283,0,0,0,0.001792,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
24,171,0.4814479351043701,0,0,0,0.001131,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
39,232,2.3531792163848877,0,0,0,0.006666,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
49,233,1.5099332332611084,0,0,0,0.003374,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
39,227,1.3480110168457031,0,0,0,0.007631,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
43,256,1.6634540557861328,0,0,0,0.003106,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
39,270,0.7025930881500244,0,0,0,0.003768,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
48,309,2.357280731201172,0,0,0,0.01587,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
57,337,2.811685085296631,0,0,0,0.007717,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
47,309,2.4414191246032715,0,0,0,0.01632,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
41,294,1.423375129699707,0,0,0,0.02012,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
54,338,2.916865110397339,0,0,0,0.01155,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
80,415,4.061133861541748,0,0,0,0.01734,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
54,348,3.282176971435547,0,0,0,0.03095,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
68,401,4.492883920669556,0,0,0,0.03646,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
68,433,5.827018976211548,0,0,0,0.008904,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
51,386,2.9602150917053223,0,0,0,0.01048,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
69,455,8.323454141616821,0,0,0,0.02713,sabre_v0_20_dive,trivial_layout,0,1,1,1,1
